-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
36.25,-79.25,2007,05,03,              0.85
36.25,-78.75,2007,05,03,              1.93
36.25,-78.25,2007,05,03,              1.93
36.25,-77.75,2007,05,03,              2.32
36.25,-77.25,2007,05,03,              2.32
36.25,-76.75,2007,05,03,              1.62
36.25,-76.25,2007,05,03,              1.62
36.75,-80.25,2007,05,03,              0.77
36.75,-79.75,2007,05,03,              0.85
36.75,-79.25,2007,05,03,              0.85
36.75,-78.75,2007,05,03,              1.93
36.75,-78.25,2007,05,03,              1.93
36.75,-77.75,2007,05,03,              2.32
36.75,-77.25,2007,05,03,              2.32
36.75,-76.75,2007,05,03,              1.62
36.75,-76.25,2007,05,03,              1.62
37.25,-80.25,2007,05,03,              0.83
37.25,-79.75,2007,05,03,              0.29
37.25,-79.25,2007,05,03,              0.29
37.25,-78.75,2007,05,03,              0.62
37.25,-78.25,2007,05,03,              0.62
37.25,-77.75,2007,05,03,              0.93
37.25,-77.25,2007,05,03,              0.93
37.25,-76.75,2007,05,03,              1.09
37.25,-76.25,2007,05,03,              1.09
37.75,-80.25,2007,05,03,              0.83
37.75,-79.75,2007,05,03,              0.29
37.75,-79.25,2007,05,03,              0.29
37.75,-78.75,2007,05,03,              0.62
37.75,-78.25,2007,05,03,              0.62
37.75,-77.75,2007,05,03,              0.93
